id_interne_plant,date,etat,note
1901,2017-07-15,O,Rien à signaler.
2419,2017-07-15,O,Légère variabilité observée.
2573,2017-07-15,O,Rien à signaler.
2249,2017-07-15,O,Condition normale pour la saison.
2175,2017-07-15,O,Condition normale pour la saison.
2417,2017-07-15,O,Légère variabilité observée.
2542,2017-07-15,O,Condition normale pour la saison.
2135,2017-07-15,O,Condition normale pour la saison.
2192,2017-07-15,O,Condition normale pour la saison.
2349,2017-07-15,O,Condition normale pour la saison.
1954,2017-07-15,O,Légère variabilité observée.
1906,2017-07-15,O,Rien à signaler.
2041,2017-07-15,O,Légère variabilité observée.
1910,2017-07-15,O,Légère variabilité observée.
2107,2017-07-15,O,Légère variabilité observée.
1802,2017-07-15,O,Légère variabilité observée.
2048,2017-07-15,O,Légère variabilité observée.
2437,2017-07-15,O,Condition normale pour la saison.
2342,2017-07-15,O,Rien à signaler.
1982,2017-07-15,O,Condition normale pour la saison.
2021,2017-07-15,O,Légère variabilité observée.
1822,2017-07-15,O,Condition normale pour la saison.
2318,2017-07-15,O,Rien à signaler.
1884,2017-07-15,O,Légère variabilité observée.
2293,2017-07-15,O,Rien à signaler.
2322,2017-07-15,O,Légère variabilité observée.
2001,2017-07-15,O,Condition normale pour la saison.
1969,2017-07-15,O,Rien à signaler.
2503,2017-07-15,O,Légère variabilité observée.
1851,2017-07-15,O,Condition normale pour la saison.
2141,2017-07-15,O,Condition normale pour la saison.
1914,2017-07-15,O,Condition normale pour la saison.
2195,2017-07-15,O,Rien à signaler.
2429,2017-07-15,O,Légère variabilité observée.
2343,2017-07-15,O,Légère variabilité observée.
2122,2017-07-15,O,Légère variabilité observée.
2564,2017-07-15,O,Rien à signaler.
2102,2017-07-15,O,Condition normale pour la saison.
2430,2017-07-15,O,Légère variabilité observée.
2390,2017-07-15,O,Condition normale pour la saison.
1842,2017-07-15,O,Rien à signaler.
2352,2017-07-15,O,Condition normale pour la saison.
2144,2017-07-15,O,Rien à signaler.
2567,2017-07-15,O,Rien à signaler.
1955,2017-07-15,O,Condition normale pour la saison.
2030,2017-07-15,O,Condition normale pour la saison.
2055,2017-07-15,O,Condition normale pour la saison.
2427,2017-07-15,O,Rien à signaler.
2101,2017-07-15,O,Condition normale pour la saison.
2145,2017-07-15,O,Condition normale pour la saison.
2013,2017-07-15,O,Rien à signaler.
2389,2017-07-15,O,Rien à signaler.
2351,2017-07-15,O,Légère variabilité observée.
2590,2017-07-15,O,Rien à signaler.
2159,2017-07-15,O,Condition normale pour la saison.
2489,2017-07-15,O,Condition normale pour la saison.
2071,2017-07-15,O,Légère variabilité observée.
2275,2017-07-15,O,Légère variabilité observée.
2445,2017-07-15,O,Condition normale pour la saison.
2100,2017-07-15,O,Légère variabilité observée.
2205,2017-07-15,O,Rien à signaler.
2086,2017-07-15,O,Condition normale pour la saison.
2335,2017-07-15,O,Condition normale pour la saison.
2434,2017-07-15,O,Condition normale pour la saison.
2480,2017-07-15,O,Condition normale pour la saison.
2307,2017-07-15,O,Condition normale pour la saison.
2106,2017-07-15,O,Légère variabilité observée.
1831,2017-07-15,O,Rien à signaler.
2090,2017-07-15,O,Légère variabilité observée.
2497,2017-07-15,O,Légère variabilité observée.
2415,2017-07-15,O,Rien à signaler.
2475,2017-07-15,O,Légère variabilité observée.
2368,2017-07-15,O,Rien à signaler.
2240,2017-07-15,O,Rien à signaler.
2228,2017-07-15,O,Condition normale pour la saison.
1804,2017-07-15,O,Rien à signaler.
2199,2017-07-15,O,Condition normale pour la saison.
2518,2017-07-15,O,Condition normale pour la saison.
2269,2017-07-15,O,Légère variabilité observée.
2084,2017-07-15,O,Condition normale pour la saison.
2375,2017-07-15,O,Rien à signaler.
1918,2017-07-15,O,Condition normale pour la saison.
