id_interne_zone,date,vent_min,vent_max,vent_moyenne,variation,note
7,2017-05-01,2.74,12.39,7.5650000000000000,9.65,Journée représentative.
7,2017-05-02,1.78,27.88,14.8300000000000000,26.10,Variations mineures.
7,2017-05-03,0.92,21.98,11.4500000000000000,21.06,Journée représentative.
7,2017-05-04,1.15,15.17,8.1600000000000000,14.02,Journée représentative.
7,2017-05-05,4.41,21.30,12.8550000000000000,16.89,Conditions stables.
7,2017-05-06,3.25,10.19,6.7200000000000000,6.94,Variations mineures.
7,2017-05-07,3.27,17.30,10.2850000000000000,14.03,Journée représentative.
7,2017-05-08,1.85,28.46,15.1550000000000000,26.61,Variations mineures.
7,2017-05-09,2.86,25.56,14.2100000000000000,22.70,Journée représentative.
7,2017-05-10,4.71,10.07,7.3900000000000000,5.36,Variations mineures.
7,2017-05-11,0.41,10.48,5.4450000000000000,10.07,Variations mineures.
7,2017-05-12,4.39,17.96,11.1750000000000000,13.57,Conditions stables.
7,2017-05-13,4.55,26.25,15.4000000000000000,21.70,Journée représentative.
7,2017-05-14,1.63,11.50,6.5650000000000000,9.87,Conditions stables.
7,2017-05-15,0.76,13.62,7.1900000000000000,12.86,Variations mineures.
7,2017-05-16,1.42,14.44,7.9300000000000000,13.02,Conditions stables.
7,2017-05-17,4.66,17.50,11.0800000000000000,12.84,Conditions stables.
7,2017-05-18,1.18,11.91,6.5450000000000000,10.73,Variations mineures.
7,2017-05-19,1.87,27.66,14.7650000000000000,25.79,Variations mineures.
7,2017-05-20,1.33,20.96,11.1450000000000000,19.63,Variations mineures.
7,2017-05-21,4.38,16.53,10.4550000000000000,12.15,Variations mineures.
7,2017-05-22,2.83,11.96,7.3950000000000000,9.13,Journée représentative.
7,2017-05-23,2.23,25.83,14.0300000000000000,23.60,Conditions stables.
7,2017-05-24,3.51,16.92,10.2150000000000000,13.41,Variations mineures.
7,2017-05-25,3.63,14.23,8.9300000000000000,10.60,Conditions stables.
7,2017-05-26,0.46,14.42,7.4400000000000000,13.96,Variations mineures.
7,2017-05-27,4.48,24.23,14.3550000000000000,19.75,Journée représentative.
7,2017-05-28,0.50,16.40,8.4500000000000000,15.90,Conditions stables.
7,2017-05-29,3.10,23.52,13.3100000000000000,20.42,Journée représentative.
7,2017-05-30,3.42,21.31,12.3650000000000000,17.89,Conditions stables.
7,2017-05-31,2.30,28.95,15.6250000000000000,26.65,Variations mineures.
7,2017-06-01,2.89,11.49,7.1900000000000000,8.60,Variations mineures.
7,2017-06-02,1.76,27.12,14.4400000000000000,25.36,Conditions stables.
7,2017-06-03,1.09,29.91,15.5000000000000000,28.82,Variations mineures.
7,2017-06-04,2.55,14.25,8.4000000000000000,11.70,Journée représentative.
7,2017-06-05,4.33,28.92,16.6250000000000000,24.59,Conditions stables.
7,2017-06-06,4.76,26.28,15.5200000000000000,21.52,Variations mineures.
7,2017-06-07,0.95,12.23,6.5900000000000000,11.28,Variations mineures.
7,2017-06-08,4.10,22.49,13.2950000000000000,18.39,Conditions stables.
7,2017-06-09,0.48,16.67,8.5750000000000000,16.19,Variations mineures.
7,2017-06-10,1.46,15.62,8.5400000000000000,14.16,Journée représentative.
7,2017-06-11,4.54,21.58,13.0600000000000000,17.04,Variations mineures.
7,2017-06-12,1.14,20.49,10.8150000000000000,19.35,Conditions stables.
7,2017-06-13,2.55,23.99,13.2700000000000000,21.44,Journée représentative.
7,2017-06-14,1.20,22.59,11.8950000000000000,21.39,Variations mineures.
7,2017-06-15,3.32,20.54,11.9300000000000000,17.22,Conditions stables.
