id_interne_placette,id_interne_arbre,date,rang
22,12,2017-06-15,3
20,12,2017-06-15,3
19,12,2017-06-15,3
17,12,2017-06-15,3
22,13,2017-06-15,1
20,13,2017-06-15,1
19,13,2017-06-15,1
17,13,2017-06-15,1
25,15,2017-06-15,2
24,15,2017-06-15,2
23,15,2017-06-15,2
18,15,2017-06-15,2
22,16,2017-06-15,2
20,16,2017-06-15,2
19,16,2017-06-15,2
17,16,2017-06-15,2
25,17,2017-06-15,1
24,17,2017-06-15,1
23,17,2017-06-15,1
18,17,2017-06-15,1
25,18,2017-06-15,3
24,18,2017-06-15,3
23,18,2017-06-15,3
18,18,2017-06-15,3
22,21,2017-06-15,3
20,21,2017-06-15,3
19,21,2017-06-15,3
17,21,2017-06-15,3
22,22,2017-06-15,1
20,22,2017-06-15,1
19,22,2017-06-15,1
17,22,2017-06-15,1
25,23,2017-06-15,2
24,23,2017-06-15,2
23,23,2017-06-15,2
18,23,2017-06-15,2
22,24,2017-06-15,2
20,24,2017-06-15,2
19,24,2017-06-15,2
17,24,2017-06-15,2
25,25,2017-06-15,1
24,25,2017-06-15,1
23,25,2017-06-15,1
18,25,2017-06-15,1
25,26,2017-06-15,3
24,26,2017-06-15,3
23,26,2017-06-15,3
18,26,2017-06-15,3
