id_interne_zone,date,pres_min,pres_max,pres_moyenne,variation,note
7,2017-05-01,1009.72,1024.30,1017.0100000000000000,14.58,Variations mineures.
7,2017-05-02,1001.98,1015.42,1008.7000000000000000,13.44,Variations mineures.
7,2017-05-03,1008.51,1015.05,1011.7800000000000000,6.54,Conditions stables.
7,2017-05-04,1003.73,1015.72,1009.7250000000000000,11.99,Journée représentative.
7,2017-05-05,1004.42,1013.13,1008.7750000000000000,8.71,Variations mineures.
7,2017-05-06,1000.65,1017.95,1009.3000000000000000,17.30,Conditions stables.
7,2017-05-07,1005.43,1010.47,1007.9500000000000000,5.04,Conditions stables.
7,2017-05-08,998.61,1014.71,1006.6600000000000000,16.10,Journée représentative.
7,2017-05-09,996.16,1016.27,1006.2150000000000000,20.11,Conditions stables.
7,2017-05-10,999.36,1021.35,1010.3550000000000000,21.99,Variations mineures.
7,2017-05-11,996.46,1027.74,1012.1000000000000000,31.28,Journée représentative.
7,2017-05-12,1005.69,1015.15,1010.4200000000000000,9.46,Journée représentative.
7,2017-05-13,999.99,1025.14,1012.5650000000000000,25.15,Variations mineures.
7,2017-05-14,991.52,1027.21,1009.3650000000000000,35.69,Journée représentative.
7,2017-05-15,1000.49,1017.51,1009.0000000000000000,17.02,Journée représentative.
7,2017-05-16,1006.64,1020.65,1013.6450000000000000,14.01,Variations mineures.
7,2017-05-17,993.73,1017.82,1005.7750000000000000,24.09,Journée représentative.
7,2017-05-18,1007.31,1011.33,1009.3200000000000000,4.02,Journée représentative.
7,2017-05-19,1008.49,1013.98,1011.2350000000000000,5.49,Conditions stables.
7,2017-05-20,992.16,1021.00,1006.5800000000000000,28.84,Journée représentative.
7,2017-05-21,991.73,1018.79,1005.2600000000000000,27.06,Variations mineures.
7,2017-05-22,1009.44,1026.68,1018.0600000000000000,17.24,Journée représentative.
7,2017-05-23,996.54,1015.40,1005.9700000000000000,18.86,Variations mineures.
7,2017-05-24,994.25,1010.79,1002.5200000000000000,16.54,Variations mineures.
7,2017-05-25,993.54,1013.18,1003.3600000000000000,19.64,Variations mineures.
7,2017-05-26,998.93,1025.56,1012.2450000000000000,26.63,Conditions stables.
7,2017-05-27,997.95,1021.71,1009.8300000000000000,23.76,Conditions stables.
7,2017-05-28,990.26,1028.67,1009.4650000000000000,38.41,Variations mineures.
7,2017-05-29,1003.92,1015.55,1009.7350000000000000,11.63,Journée représentative.
7,2017-05-30,993.49,1015.06,1004.2750000000000000,21.57,Conditions stables.
7,2017-05-31,996.57,1013.26,1004.9150000000000000,16.69,Journée représentative.
7,2017-06-01,993.19,1023.26,1008.2250000000000000,30.07,Variations mineures.
7,2017-06-02,1001.75,1021.36,1011.5550000000000000,19.61,Journée représentative.
