id_interne_plant,date,note
1901,2017-05-15,Rien à signaler.
1901,2017-06-15,Condition normale pour la saison.
1901,2017-07-15,Condition normale pour la saison.
1901,2017-08-15,Condition normale pour la saison.
1901,2017-09-15,Condition normale pour la saison.
1901,2017-10-15,Légère variabilité observée.
2419,2017-05-15,Condition normale pour la saison.
2419,2017-06-15,Condition normale pour la saison.
2419,2017-07-15,Rien à signaler.
2419,2017-08-15,Condition normale pour la saison.
2419,2017-09-15,Condition normale pour la saison.
2419,2017-10-15,Légère variabilité observée.
2573,2017-05-15,Condition normale pour la saison.
2573,2017-06-15,Condition normale pour la saison.
2573,2017-07-15,Rien à signaler.
2573,2017-08-15,Condition normale pour la saison.
2573,2017-09-15,Condition normale pour la saison.
2573,2017-10-15,Légère variabilité observée.
2249,2017-05-15,Rien à signaler.
2249,2017-06-15,Rien à signaler.
2249,2017-07-15,Rien à signaler.
2249,2017-08-15,Rien à signaler.
2249,2017-09-15,Légère variabilité observée.
2249,2017-10-15,Rien à signaler.
2175,2017-05-15,Rien à signaler.
2175,2017-06-15,Condition normale pour la saison.
2175,2017-07-15,Légère variabilité observée.
2175,2017-08-15,Rien à signaler.
2175,2017-09-15,Condition normale pour la saison.
2175,2017-10-15,Légère variabilité observée.
2417,2017-05-15,Rien à signaler.
2417,2017-06-15,Condition normale pour la saison.
2417,2017-07-15,Condition normale pour la saison.
2417,2017-08-15,Rien à signaler.
2417,2017-09-15,Condition normale pour la saison.
2417,2017-10-15,Rien à signaler.
2542,2017-05-15,Rien à signaler.
2542,2017-06-15,Rien à signaler.
2542,2017-07-15,Condition normale pour la saison.
2542,2017-08-15,Condition normale pour la saison.
2542,2017-09-15,Condition normale pour la saison.
2542,2017-10-15,Condition normale pour la saison.
2135,2017-05-15,Condition normale pour la saison.
2135,2017-06-15,Légère variabilité observée.
2135,2017-07-15,Condition normale pour la saison.
2135,2017-08-15,Rien à signaler.
2135,2017-09-15,Condition normale pour la saison.
2135,2017-10-15,Condition normale pour la saison.
2192,2017-05-15,Rien à signaler.
2192,2017-06-15,Condition normale pour la saison.
2192,2017-07-15,Légère variabilité observée.
2192,2017-08-15,Légère variabilité observée.
2192,2017-09-15,Rien à signaler.
2192,2017-10-15,Condition normale pour la saison.
2349,2017-05-15,Légère variabilité observée.
2349,2017-06-15,Légère variabilité observée.
2349,2017-07-15,Rien à signaler.
2349,2017-08-15,Rien à signaler.
2349,2017-09-15,Légère variabilité observée.
2349,2017-10-15,Rien à signaler.
1954,2017-05-15,Condition normale pour la saison.
1954,2017-06-15,Légère variabilité observée.
1954,2017-07-15,Condition normale pour la saison.
1954,2017-08-15,Légère variabilité observée.
1954,2017-09-15,Légère variabilité observée.
1954,2017-10-15,Légère variabilité observée.
1906,2017-05-15,Rien à signaler.
1906,2017-06-15,Légère variabilité observée.
1906,2017-07-15,Condition normale pour la saison.
1906,2017-08-15,Condition normale pour la saison.
1906,2017-09-15,Légère variabilité observée.
1906,2017-10-15,Condition normale pour la saison.
2041,2017-05-15,Condition normale pour la saison.
2041,2017-06-15,Condition normale pour la saison.
2041,2017-07-15,Condition normale pour la saison.
2041,2017-08-15,Condition normale pour la saison.
2041,2017-09-15,Condition normale pour la saison.
2041,2017-10-15,Condition normale pour la saison.
1910,2017-05-15,Condition normale pour la saison.
1910,2017-06-15,Légère variabilité observée.
1910,2017-07-15,Rien à signaler.
1910,2017-08-15,Condition normale pour la saison.
1910,2017-09-15,Condition normale pour la saison.
1910,2017-10-15,Condition normale pour la saison.
2107,2017-05-15,Légère variabilité observée.
2107,2017-06-15,Rien à signaler.
2107,2017-07-15,Rien à signaler.
2107,2017-08-15,Condition normale pour la saison.
2107,2017-09-15,Condition normale pour la saison.
2107,2017-10-15,Condition normale pour la saison.
1802,2017-05-15,Rien à signaler.
1802,2017-06-15,Condition normale pour la saison.
