id_interne_zone,date,hum_min,hum_max,temp_moyenne,variation,note
1,2024-05-01,59.00,78.00,68.50,19.00,Observation meteo du 2024-05-01 (printemps)
2,2024-05-01,51.00,76.00,63.50,25.00,Observation meteo du 2024-05-01 (printemps)
1,2024-05-02,54.00,70.00,62.00,16.00,Observation meteo du 2024-05-02 (printemps)
2,2024-05-02,60.00,70.00,65.00,10.00,Observation meteo du 2024-05-02 (printemps)
1,2024-05-03,53.00,79.00,66.00,26.00,Observation meteo du 2024-05-03 (printemps)
2,2024-05-03,54.00,77.00,65.50,23.00,Observation meteo du 2024-05-03 (printemps)
1,2024-05-04,55.00,80.00,67.50,25.00,Observation meteo du 2024-05-04 (printemps)
2,2024-05-04,52.00,80.00,66.00,28.00,Observation meteo du 2024-05-04 (printemps)
1,2024-05-05,50.00,77.00,63.50,27.00,Observation meteo du 2024-05-05 (printemps)
2,2024-05-05,50.00,72.00,61.00,22.00,Observation meteo du 2024-05-05 (printemps)
1,2024-05-06,59.00,80.00,69.50,21.00,Observation meteo du 2024-05-06 (printemps)
2,2024-05-06,59.00,73.00,66.00,14.00,Observation meteo du 2024-05-06 (printemps)
1,2024-05-07,60.00,70.00,65.00,10.00,Observation meteo du 2024-05-07 (printemps)
2,2024-05-07,56.00,70.00,63.00,14.00,Observation meteo du 2024-05-07 (printemps)
1,2024-05-08,53.00,73.00,63.00,20.00,Observation meteo du 2024-05-08 (printemps)
2,2024-05-08,60.00,76.00,68.00,16.00,Observation meteo du 2024-05-08 (printemps)
1,2024-05-09,54.00,72.00,63.00,18.00,Observation meteo du 2024-05-09 (printemps)
2,2024-05-09,56.00,78.00,67.00,22.00,Observation meteo du 2024-05-09 (printemps)
1,2024-05-10,54.00,76.00,65.00,22.00,Observation meteo du 2024-05-10 (printemps)
2,2024-05-10,52.00,71.00,61.50,19.00,Observation meteo du 2024-05-10 (printemps)
1,2024-05-11,54.00,72.00,63.00,18.00,Observation meteo du 2024-05-11 (printemps)
2,2024-05-11,55.00,71.00,63.00,16.00,Observation meteo du 2024-05-11 (printemps)
1,2024-05-12,57.00,70.00,63.50,13.00,Observation meteo du 2024-05-12 (printemps)
2,2024-05-12,59.00,73.00,66.00,14.00,Observation meteo du 2024-05-12 (printemps)
1,2024-05-13,53.00,71.00,62.00,18.00,Observation meteo du 2024-05-13 (printemps)
2,2024-05-13,59.00,73.00,66.00,14.00,Observation meteo du 2024-05-13 (printemps)
1,2024-05-14,51.00,79.00,65.00,28.00,Observation meteo du 2024-05-14 (printemps)
2,2024-05-14,55.00,78.00,66.50,23.00,Observation meteo du 2024-05-14 (printemps)
1,2024-05-15,52.00,78.00,65.00,26.00,Observation meteo du 2024-05-15 (printemps)
2,2024-05-15,59.00,80.00,69.50,21.00,Observation meteo du 2024-05-15 (printemps)
1,2024-05-16,59.00,75.00,67.00,16.00,Observation meteo du 2024-05-16 (printemps)
2,2024-05-16,54.00,79.00,66.50,25.00,Observation meteo du 2024-05-16 (printemps)
1,2024-05-17,55.00,80.00,67.50,25.00,Observation meteo du 2024-05-17 (printemps)
2,2024-05-17,50.00,79.00,64.50,29.00,Observation meteo du 2024-05-17 (printemps)
1,2024-05-18,57.00,74.00,65.50,17.00,Observation meteo du 2024-05-18 (printemps)
2,2024-05-18,54.00,74.00,64.00,20.00,Observation meteo du 2024-05-18 (printemps)
1,2024-05-19,52.00,80.00,66.00,28.00,Observation meteo du 2024-05-19 (printemps)
2,2024-05-19,59.00,77.00,68.00,18.00,Observation meteo du 2024-05-19 (printemps)
1,2024-05-20,54.00,74.00,64.00,20.00,Observation meteo du 2024-05-20 (printemps)
2,2024-05-20,58.00,77.00,67.50,19.00,Observation meteo du 2024-05-20 (printemps)
1,2024-05-21,58.00,77.00,67.50,19.00,Observation meteo du 2024-05-21 (printemps)
2,2024-05-21,58.00,77.00,67.50,19.00,Observation meteo du 2024-05-21 (printemps)
1,2024-05-22,60.00,73.00,66.50,13.00,Observation meteo du 2024-05-22 (printemps)
2,2024-05-22,57.00,75.00,66.00,18.00,Observation meteo du 2024-05-22 (printemps)
1,2024-05-23,50.00,76.00,63.00,26.00,Observation meteo du 2024-05-23 (printemps)
2,2024-05-23,59.00,79.00,69.00,20.00,Observation meteo du 2024-05-23 (printemps)
1,2024-05-24,56.00,76.00,66.00,20.00,Observation meteo du 2024-05-24 (printemps)
2,2024-05-24,58.00,77.00,67.50,19.00,Observation meteo du 2024-05-24 (printemps)
1,2024-05-25,53.00,74.00,63.50,21.00,Observation meteo du 2024-05-25 (printemps)
2,2024-05-25,52.00,77.00,64.50,25.00,Observation meteo du 2024-05-25 (printemps)
1,2024-05-26,53.00,77.00,65.00,24.00,Observation meteo du 2024-05-26 (printemps)
2,2024-05-26,55.00,76.00,65.50,21.00,Observation meteo du 2024-05-26 (printemps)
1,2024-05-27,53.00,80.00,66.50,27.00,Observation meteo du 2024-05-27 (printemps)
2,2024-05-27,54.00,74.00,64.00,20.00,Observation meteo du 2024-05-27 (printemps)
1,2024-05-28,55.00,75.00,65.00,20.00,Observation meteo du 2024-05-28 (printemps)
2,2024-05-28,52.00,77.00,64.50,25.00,Observation meteo du 2024-05-28 (printemps)
1,2024-05-29,50.00,80.00,65.00,30.00,Observation meteo du 2024-05-29 (printemps)
2,2024-05-29,58.00,73.00,65.50,15.00,Observation meteo du 2024-05-29 (printemps)
1,2024-05-30,60.00,74.00,67.00,14.00,Observation meteo du 2024-05-30 (printemps)
2,2024-05-30,58.00,76.00,67.00,18.00,Observation meteo du 2024-05-30 (printemps)
1,2024-05-31,50.00,77.00,63.50,27.00,Observation meteo du 2024-05-31 (printemps)
2,2024-05-31,50.00,72.00,61.00,22.00,Observation meteo du 2024-05-31 (printemps)
1,2024-06-01,43.00,60.00,51.50,17.00,Observation meteo du 2024-06-01 (ete)
2,2024-06-01,49.00,67.00,58.00,18.00,Observation meteo du 2024-06-01 (ete)
1,2024-06-02,43.00,70.00,56.50,27.00,Observation meteo du 2024-06-02 (ete)
2,2024-06-02,45.00,68.00,56.50,23.00,Observation meteo du 2024-06-02 (ete)
1,2024-06-03,43.00,63.00,53.00,20.00,Observation meteo du 2024-06-03 (ete)
2,2024-06-03,43.00,65.00,54.00,22.00,Observation meteo du 2024-06-03 (ete)
1,2024-06-04,44.00,69.00,56.50,25.00,Observation meteo du 2024-06-04 (ete)
2,2024-06-04,40.00,64.00,52.00,24.00,Observation meteo du 2024-06-04 (ete)
1,2024-06-05,41.00,67.00,54.00,26.00,Observation meteo du 2024-06-05 (ete)
2,2024-06-05,46.00,60.00,53.00,14.00,Observation meteo du 2024-06-05 (ete)
1,2024-06-06,45.00,67.00,56.00,22.00,Observation meteo du 2024-06-06 (ete)
2,2024-06-06,46.00,61.00,53.50,15.00,Observation meteo du 2024-06-06 (ete)
1,2024-06-07,44.00,70.00,57.00,26.00,Observation meteo du 2024-06-07 (ete)
2,2024-06-07,40.00,64.00,52.00,24.00,Observation meteo du 2024-06-07 (ete)
1,2024-06-08,47.00,63.00,55.00,16.00,Observation meteo du 2024-06-08 (ete)
2,2024-06-08,47.00,62.00,54.50,15.00,Observation meteo du 2024-06-08 (ete)
1,2024-06-09,42.00,60.00,51.00,18.00,Observation meteo du 2024-06-09 (ete)
2,2024-06-09,49.00,60.00,54.50,11.00,Observation meteo du 2024-06-09 (ete)
1,2024-06-10,46.00,65.00,55.50,19.00,Observation meteo du 2024-06-10 (ete)
2,2024-06-10,42.00,62.00,52.00,20.00,Observation meteo du 2024-06-10 (ete)
1,2024-06-11,40.00,68.00,54.00,28.00,Observation meteo du 2024-06-11 (ete)
2,2024-06-11,43.00,65.00,54.00,22.00,Observation meteo du 2024-06-11 (ete)
1,2024-06-12,44.00,60.00,52.00,16.00,Observation meteo du 2024-06-12 (ete)
2,2024-06-12,40.00,68.00,54.00,28.00,Observation meteo du 2024-06-12 (ete)
1,2024-06-13,41.00,62.00,51.50,21.00,Observation meteo du 2024-06-13 (ete)
2,2024-06-13,42.00,60.00,51.00,18.00,Observation meteo du 2024-06-13 (ete)
1,2024-06-14,44.00,61.00,52.50,17.00,Observation meteo du 2024-06-14 (ete)
2,2024-06-14,44.00,70.00,57.00,26.00,Observation meteo du 2024-06-14 (ete)
