id_interne_zone,date,prec_tot,prec_nature,note
3,2024-05-01,19.00,B,Observation meteo du 2024-05-01 (printemps)
4,2024-05-01,29.00,B,Observation meteo du 2024-05-01 (printemps)
3,2024-05-02,12.00,B,Observation meteo du 2024-05-02 (printemps)
4,2024-05-02,23.00,B,Observation meteo du 2024-05-02 (printemps)
3,2024-05-03,,,Observation meteo du 2024-05-03 (printemps)
4,2024-05-03,,,Observation meteo du 2024-05-03 (printemps)
3,2024-05-04,,,Observation meteo du 2024-05-04 (printemps)
4,2024-05-04,,,Observation meteo du 2024-05-04 (printemps)
3,2024-05-05,,,Observation meteo du 2024-05-05 (printemps)
4,2024-05-05,27.00,P,Observation meteo du 2024-05-05 (printemps)
3,2024-05-06,,,Observation meteo du 2024-05-06 (printemps)
4,2024-05-06,,,Observation meteo du 2024-05-06 (printemps)
3,2024-05-07,5.00,B,Observation meteo du 2024-05-07 (printemps)
4,2024-05-07,28.00,P,Observation meteo du 2024-05-07 (printemps)
3,2024-05-08,,,Observation meteo du 2024-05-08 (printemps)
4,2024-05-08,,,Observation meteo du 2024-05-08 (printemps)
3,2024-05-09,,,Observation meteo du 2024-05-09 (printemps)
4,2024-05-09,,,Observation meteo du 2024-05-09 (printemps)
3,2024-05-10,,,Observation meteo du 2024-05-10 (printemps)
4,2024-05-10,,,Observation meteo du 2024-05-10 (printemps)
3,2024-05-11,8.00,B,Observation meteo du 2024-05-11 (printemps)
4,2024-05-11,,,Observation meteo du 2024-05-11 (printemps)
3,2024-05-12,26.00,B,Observation meteo du 2024-05-12 (printemps)
4,2024-05-12,,,Observation meteo du 2024-05-12 (printemps)
3,2024-05-13,,,Observation meteo du 2024-05-13 (printemps)
4,2024-05-13,11.00,P,Observation meteo du 2024-05-13 (printemps)
3,2024-05-14,17.00,P,Observation meteo du 2024-05-14 (printemps)
4,2024-05-14,,,Observation meteo du 2024-05-14 (printemps)
3,2024-05-15,,,Observation meteo du 2024-05-15 (printemps)
4,2024-05-15,13.00,P,Observation meteo du 2024-05-15 (printemps)
3,2024-05-16,,,Observation meteo du 2024-05-16 (printemps)
4,2024-05-16,16.00,P,Observation meteo du 2024-05-16 (printemps)
3,2024-05-17,27.00,P,Observation meteo du 2024-05-17 (printemps)
4,2024-05-17,,,Observation meteo du 2024-05-17 (printemps)
3,2024-05-18,,,Observation meteo du 2024-05-18 (printemps)
4,2024-05-18,19.00,B,Observation meteo du 2024-05-18 (printemps)
3,2024-05-19,10.00,B,Observation meteo du 2024-05-19 (printemps)
4,2024-05-19,,,Observation meteo du 2024-05-19 (printemps)
3,2024-05-20,,,Observation meteo du 2024-05-20 (printemps)
4,2024-05-20,9.00,B,Observation meteo du 2024-05-20 (printemps)
3,2024-05-21,15.00,P,Observation meteo du 2024-05-21 (printemps)
4,2024-05-21,,,Observation meteo du 2024-05-21 (printemps)
3,2024-05-22,,,Observation meteo du 2024-05-22 (printemps)
4,2024-05-22,,,Observation meteo du 2024-05-22 (printemps)
3,2024-05-23,28.00,B,Observation meteo du 2024-05-23 (printemps)
4,2024-05-23,,,Observation meteo du 2024-05-23 (printemps)
3,2024-05-24,,,Observation meteo du 2024-05-24 (printemps)
4,2024-05-24,,,Observation meteo du 2024-05-24 (printemps)
3,2024-05-25,24.00,B,Observation meteo du 2024-05-25 (printemps)
