id_interne_zone,date,vent_min,vent_max,temp_moyenne,variation,note
1,2024-05-01,7.00,20.00,13.50,13.00,Observation meteo du 2024-05-01 (printemps)
2,2024-05-01,10.00,23.00,16.50,13.00,Observation meteo du 2024-05-01 (printemps)
1,2024-05-02,9.00,25.00,17.00,16.00,Observation meteo du 2024-05-02 (printemps)
2,2024-05-02,10.00,21.00,15.50,11.00,Observation meteo du 2024-05-02 (printemps)
1,2024-05-03,10.00,23.00,16.50,13.00,Observation meteo du 2024-05-03 (printemps)
2,2024-05-03,5.00,22.00,13.50,17.00,Observation meteo du 2024-05-03 (printemps)
1,2024-05-04,10.00,20.00,15.00,10.00,Observation meteo du 2024-05-04 (printemps)
2,2024-05-04,7.00,22.00,14.50,15.00,Observation meteo du 2024-05-04 (printemps)
1,2024-05-05,7.00,24.00,15.50,17.00,Observation meteo du 2024-05-05 (printemps)
2,2024-05-05,6.00,25.00,15.50,19.00,Observation meteo du 2024-05-05 (printemps)
1,2024-05-06,8.00,23.00,15.50,15.00,Observation meteo du 2024-05-06 (printemps)
2,2024-05-06,9.00,20.00,14.50,11.00,Observation meteo du 2024-05-06 (printemps)
1,2024-05-07,7.00,21.00,14.00,14.00,Observation meteo du 2024-05-07 (printemps)
2,2024-05-07,6.00,24.00,15.00,18.00,Observation meteo du 2024-05-07 (printemps)
1,2024-05-08,6.00,21.00,13.50,15.00,Observation meteo du 2024-05-08 (printemps)
2,2024-05-08,6.00,20.00,13.00,14.00,Observation meteo du 2024-05-08 (printemps)
1,2024-05-09,7.00,23.00,15.00,16.00,Observation meteo du 2024-05-09 (printemps)
2,2024-05-09,5.00,25.00,15.00,20.00,Observation meteo du 2024-05-09 (printemps)
1,2024-05-10,9.00,21.00,15.00,12.00,Observation meteo du 2024-05-10 (printemps)
2,2024-05-10,5.00,23.00,14.00,18.00,Observation meteo du 2024-05-10 (printemps)
1,2024-05-11,7.00,21.00,14.00,14.00,Observation meteo du 2024-05-11 (printemps)
2,2024-05-11,8.00,22.00,15.00,14.00,Observation meteo du 2024-05-11 (printemps)
1,2024-05-12,10.00,24.00,17.00,14.00,Observation meteo du 2024-05-12 (printemps)
2,2024-05-12,7.00,22.00,14.50,15.00,Observation meteo du 2024-05-12 (printemps)
1,2024-05-13,5.00,24.00,14.50,19.00,Observation meteo du 2024-05-13 (printemps)
2,2024-05-13,5.00,23.00,14.00,18.00,Observation meteo du 2024-05-13 (printemps)
1,2024-05-14,8.00,25.00,16.50,17.00,Observation meteo du 2024-05-14 (printemps)
2,2024-05-14,9.00,23.00,16.00,14.00,Observation meteo du 2024-05-14 (printemps)
1,2024-05-15,6.00,23.00,14.50,17.00,Observation meteo du 2024-05-15 (printemps)
2,2024-05-15,5.00,22.00,13.50,17.00,Observation meteo du 2024-05-15 (printemps)
1,2024-05-16,7.00,21.00,14.00,14.00,Observation meteo du 2024-05-16 (printemps)
2,2024-05-16,7.00,20.00,13.50,13.00,Observation meteo du 2024-05-16 (printemps)
1,2024-05-17,6.00,21.00,13.50,15.00,Observation meteo du 2024-05-17 (printemps)
2,2024-05-17,9.00,24.00,16.50,15.00,Observation meteo du 2024-05-17 (printemps)
1,2024-05-18,5.00,23.00,14.00,18.00,Observation meteo du 2024-05-18 (printemps)
2,2024-05-18,7.00,23.00,15.00,16.00,Observation meteo du 2024-05-18 (printemps)
1,2024-05-19,8.00,22.00,15.00,14.00,Observation meteo du 2024-05-19 (printemps)
2,2024-05-19,7.00,23.00,15.00,16.00,Observation meteo du 2024-05-19 (printemps)
1,2024-05-20,7.00,20.00,13.50,13.00,Observation meteo du 2024-05-20 (printemps)
2,2024-05-20,9.00,21.00,15.00,12.00,Observation meteo du 2024-05-20 (printemps)
1,2024-05-21,6.00,22.00,14.00,16.00,Observation meteo du 2024-05-21 (printemps)
2,2024-05-21,10.00,21.00,15.50,11.00,Observation meteo du 2024-05-21 (printemps)
1,2024-05-22,5.00,25.00,15.00,20.00,Observation meteo du 2024-05-22 (printemps)
2,2024-05-22,9.00,21.00,15.00,12.00,Observation meteo du 2024-05-22 (printemps)
1,2024-05-23,5.00,25.00,15.00,20.00,Observation meteo du 2024-05-23 (printemps)
2,2024-05-23,6.00,21.00,13.50,15.00,Observation meteo du 2024-05-23 (printemps)
1,2024-05-24,8.00,21.00,14.50,13.00,Observation meteo du 2024-05-24 (printemps)
2,2024-05-24,7.00,23.00,15.00,16.00,Observation meteo du 2024-05-24 (printemps)
1,2024-05-25,10.00,22.00,16.00,12.00,Observation meteo du 2024-05-25 (printemps)
2,2024-05-25,7.00,24.00,15.50,17.00,Observation meteo du 2024-05-25 (printemps)
1,2024-05-26,8.00,23.00,15.50,15.00,Observation meteo du 2024-05-26 (printemps)
2,2024-05-26,8.00,21.00,14.50,13.00,Observation meteo du 2024-05-26 (printemps)
1,2024-05-27,10.00,21.00,15.50,11.00,Observation meteo du 2024-05-27 (printemps)
2,2024-05-27,8.00,20.00,14.00,12.00,Observation meteo du 2024-05-27 (printemps)
1,2024-05-28,7.00,23.00,15.00,16.00,Observation meteo du 2024-05-28 (printemps)
2,2024-05-28,5.00,25.00,15.00,20.00,Observation meteo du 2024-05-28 (printemps)
1,2024-05-29,6.00,22.00,14.00,16.00,Observation meteo du 2024-05-29 (printemps)
2,2024-05-29,7.00,21.00,14.00,14.00,Observation meteo du 2024-05-29 (printemps)
1,2024-05-30,10.00,22.00,16.00,12.00,Observation meteo du 2024-05-30 (printemps)
2,2024-05-30,8.00,22.00,15.00,14.00,Observation meteo du 2024-05-30 (printemps)
1,2024-05-31,5.00,21.00,13.00,16.00,Observation meteo du 2024-05-31 (printemps)
2,2024-05-31,10.00,20.00,15.00,10.00,Observation meteo du 2024-05-31 (printemps)
1,2024-06-01,2.00,12.00,7.00,10.00,Observation meteo du 2024-06-01 (ete)
2,2024-06-01,1.00,11.00,6.00,10.00,Observation meteo du 2024-06-01 (ete)
1,2024-06-02,4.00,10.00,7.00,6.00,Observation meteo du 2024-06-02 (ete)
2,2024-06-02,0.00,14.00,7.00,14.00,Observation meteo du 2024-06-02 (ete)
1,2024-06-03,1.00,15.00,8.00,14.00,Observation meteo du 2024-06-03 (ete)
2,2024-06-03,4.00,12.00,8.00,8.00,Observation meteo du 2024-06-03 (ete)
1,2024-06-04,1.00,14.00,7.50,13.00,Observation meteo du 2024-06-04 (ete)
