id_interne_zone,date,pres_min,pres_max,temp_moyenne,variation,note
1,2024-05-01,971.00,1011.00,991.00,40.00,Observation meteo du 2024-05-01 (printemps)
2,2024-05-01,960.00,976.00,968.00,16.00,Observation meteo du 2024-05-01 (printemps)
1,2024-05-02,956.00,1050.00,1003.00,94.00,Observation meteo du 2024-05-02 (printemps)
2,2024-05-02,990.00,1016.00,1003.00,26.00,Observation meteo du 2024-05-02 (printemps)
1,2024-05-03,974.00,1027.00,1000.50,53.00,Observation meteo du 2024-05-03 (printemps)
2,2024-05-03,952.00,995.00,973.50,43.00,Observation meteo du 2024-05-03 (printemps)
1,2024-05-04,960.00,1012.00,986.00,52.00,Observation meteo du 2024-05-04 (printemps)
2,2024-05-04,963.00,983.00,973.00,20.00,Observation meteo du 2024-05-04 (printemps)
1,2024-05-05,956.00,1000.00,978.00,44.00,Observation meteo du 2024-05-05 (printemps)
2,2024-05-05,970.00,1022.00,996.00,52.00,Observation meteo du 2024-05-05 (printemps)
1,2024-05-06,963.00,985.00,974.00,22.00,Observation meteo du 2024-05-06 (printemps)
2,2024-05-06,1000.00,1028.00,1014.00,28.00,Observation meteo du 2024-05-06 (printemps)
1,2024-05-07,957.00,1016.00,986.50,59.00,Observation meteo du 2024-05-07 (printemps)
2,2024-05-07,988.00,1044.00,1016.00,56.00,Observation meteo du 2024-05-07 (printemps)
1,2024-05-08,970.00,987.00,978.50,17.00,Observation meteo du 2024-05-08 (printemps)
2,2024-05-08,986.00,1005.00,995.50,19.00,Observation meteo du 2024-05-08 (printemps)
1,2024-05-09,959.00,1018.00,988.50,59.00,Observation meteo du 2024-05-09 (printemps)
2,2024-05-09,955.00,1012.00,983.50,57.00,Observation meteo du 2024-05-09 (printemps)
1,2024-05-10,994.00,1014.00,1004.00,20.00,Observation meteo du 2024-05-10 (printemps)
2,2024-05-10,977.00,1002.00,989.50,25.00,Observation meteo du 2024-05-10 (printemps)
1,2024-05-11,992.00,1040.00,1016.00,48.00,Observation meteo du 2024-05-11 (printemps)
2,2024-05-11,999.00,1018.00,1008.50,19.00,Observation meteo du 2024-05-11 (printemps)
1,2024-05-12,990.00,1025.00,1007.50,35.00,Observation meteo du 2024-05-12 (printemps)
2,2024-05-12,960.00,975.00,967.50,15.00,Observation meteo du 2024-05-12 (printemps)
1,2024-05-13,977.00,1006.00,991.50,29.00,Observation meteo du 2024-05-13 (printemps)
2,2024-05-13,956.00,1027.00,991.50,71.00,Observation meteo du 2024-05-13 (printemps)
1,2024-05-14,969.00,1040.00,1004.50,71.00,Observation meteo du 2024-05-14 (printemps)
2,2024-05-14,986.00,1006.00,996.00,20.00,Observation meteo du 2024-05-14 (printemps)
1,2024-05-15,999.00,1027.00,1013.00,28.00,Observation meteo du 2024-05-15 (printemps)
2,2024-05-15,986.00,1042.00,1014.00,56.00,Observation meteo du 2024-05-15 (printemps)
